avaliacao_id,colaborador_id,periodo,nota_tecnica,nota_comportamental,nota_gestor,media_geral,resultado
AVL-00001,VLT-0001,2024-Q1,7.9,6.9,5.2,6.67,Exceeds Expectations
AVL-00002,VLT-0001,2024-Q2,7.7,6.7,6.0,6.8,Meets Expectations
AVL-00003,VLT-0001,2025-Q1,8.4,7.3,9.4,8.37,Below Expectations
AVL-00004,VLT-0001,2025-Q2,7.9,8.8,9.1,8.6,Exceptional
AVL-00005,VLT-0001,2024-Q4,8.3,7.2,9.2,8.23,Meets Expectations
AVL-00006,VLT-0001,2024-Q3,4.3,9.6,4.5,6.13,Meets Expectations
AVL-00010,VLT-0003,2025-Q2,8.8,7.8,,7.47,Meets Expectations
AVL-00011,VLT-0003,2025-Q1,7.8,6.5,7.1,7.13,Meets Expectations
AVL-00012,VLT-0003,2024-Q4,7.8,7.4,10,8.4,Exceptional
AVL-00013,VLT-0003,2024-Q2,6.6,7.2,6.5,6.77,Meets Expectations
AVL-00014,VLT-0003,2024-Q1,5.7,6.1,10,7.27,Exceptional
AVL-00015,VLT-0003,2024-Q3,7.0,7.2,9.0,7.73,Exceptional
AVL-00024,VLT-0006,2024-Q4,4.2,6.5,9.0,6.57,Exceeds Expectations
AVL-00025,VLT-0006,2024-Q1,2.9,7.4,5.1,5.13,Meets Expectations
AVL-00026,VLT-0006,2025-Q1,7.8,8.1,10,8.63,Exceeds Expectations
AVL-00027,VLT-0006,2024-Q2,6.4,8.9,,7.63,Exceeds Expectations
AVL-00032,VLT-0008,2024-Q1,9.9,6.7,8.0,8.2,Below Expectations
AVL-00033,VLT-0008,2024-Q4,7.4,8.6,8.8,8.27,Below Expectations
AVL-00034,VLT-0008,2025-Q2,6.5,7.5,6.7,6.9,Meets Expectations
AVL-00035,VLT-0009,2024-Q3,9.6,7.9,,8.93,Meets Expectations
AVL-00036,VLT-0009,2025-Q1,9.3,8.9,8.3,8.83,Meets Expectations
AVL-00037,VLT-0009,2024-Q2,8.1,7.3,10,8.47,Exceeds Expectations
AVL-00038,VLT-0009,2025-Q2,10,6.5,8.3,8.27,Exceeds Expectations
AVL-00039,VLT-0009,2024-Q1,9.0,7.5,7.4,7.97,Below Expectations
AVL-00043,VLT-0011,2024-Q3,6.5,9.3,9.5,8.43,Exceeds Expectations
AVL-00044,VLT-0011,2025-Q2,8.8,7.7,9.8,8.77,Meets Expectations
AVL-00045,VLT-0011,2025-Q1,9.8,4.9,5.4,6.7,Exceptional
AVL-00046,VLT-0012,2024-Q1,8.0,8.8,,8.6,Exceeds Expectations
AVL-00047,VLT-0012,2025-Q1,8.6,7.7,5.6,7.3,Exceptional
AVL-00048,VLT-0012,2024-Q4,5.1,10,4.7,6.6,Exceeds Expectations
AVL-00049,VLT-0012,2024-Q2,7.2,6.6,8.5,7.43,Exceeds Expectations
AVL-00058,VLT-0015,2025-Q1,7.0,8.0,8.7,7.9,Meets Expectations
AVL-00059,VLT-0015,2025-Q2,5.1,7.4,7.9,6.8,Exceeds Expectations
AVL-00060,VLT-0015,2024-Q2,9.5,7.4,,7.17,Exceeds Expectations
AVL-00061,VLT-0016,2025-Q1,5.3,9.9,7.3,7.5,Meets Expectations
AVL-00062,VLT-0016,2024-Q2,7.0,8.5,7.5,7.67,Below Expectations
AVL-00063,VLT-0016,2024-Q4,6.6,7.7,4.6,6.3,Exceptional
AVL-00064,VLT-0016,2024-Q3,7.7,5.1,6.8,6.53,Meets Expectations
AVL-00065,VLT-0016,2024-Q1,5.0,6.2,6.6,5.93,Exceptional
AVL-00066,VLT-0016,2025-Q2,8.9,6.1,10,8.33,Exceeds Expectations
AVL-00067,VLT-0017,2024-Q4,7.6,9.1,9.8,8.83,Meets Expectations
AVL-00068,VLT-0017,2025-Q2,9.7,7.4,6.7,7.93,Meets Expectations
AVL-00069,VLT-0018,2024-Q3,8.0,8.4,7.2,7.87,Meets Expectations
AVL-00070,VLT-0018,2025-Q1,9.6,7.1,8.1,8.27,Meets Expectations
AVL-00071,VLT-0019,2025-Q1,6.4,9.0,9.4,8.27,Exceptional
AVL-00072,VLT-0019,2024-Q3,8.4,9.1,9.4,8.97,Meets Expectations
AVL-00073,VLT-0019,2024-Q1,9.3,7.9,8.2,8.47,Meets Expectations
AVL-00074,VLT-0019,2024-Q2,8.6,9.0,9.7,9.1,Meets Expectations
AVL-00079,VLT-0021,2024-Q2,7.1,7.3,6.2,6.87,Meets Expectations
AVL-00080,VLT-0021,2024-Q3,7.5,6.6,5.7,6.6,Meets Expectations
AVL-00081,VLT-0021,2025-Q1,6.6,5.1,5.6,5.77,Meets Expectations
AVL-00082,VLT-0021,2024-Q1,6.1,7.6,,6.97,Meets Expectations
AVL-00083,VLT-0021,2024-Q4,8.6,7.6,6.6,7.6,Exceeds Expectations
AVL-00084,VLT-0022,2024-Q4,8.3,6.7,9.5,8.17,Meets Expectations
AVL-00085,VLT-0022,2024-Q3,5.9,6.9,9.1,7.3,Below Expectations
AVL-00086,VLT-0022,2024-Q1,8.6,7.7,6.2,7.5,Exceptional
AVL-00087,VLT-0022,2024-Q2,7.2,6.1,4.8,6.03,Exceeds Expectations
